name,location,latitude,longitude
Jalsa,Banashankari,12.9263463,77.5647627
Spice Elephant,Banashankari,,
San Churro Cafe,Banashankari,,
Timepass Dinner,Basavanagudi,12.9453667,77.5709983
Onesta,Banashankari,,
Penthouse Cafe,Banashankari,,
Smacznego,Banashankari,12.9240662,77.5642334
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Banashankari,,
Caf-Eleven,Banashankari,,
Redberrys,Basavanagudi,,
Faasos,Banashankari,,
Behrouz Biryani,Banashankari,,
Szechuan Dragon,Banashankari,,
Empire Restaurant,Jayanagar,12.9330586,77.5817527
McDonald's,Banashankari,12.924405,77.5647251
Domino's Pizza,Banashankari,,
Kitchen Garden,Kumaraswamy Layout,,
Recipe,Kumaraswamy Layout,,
Beijing Bites,Rajarajeshwari Nagar,12.9214078,77.5206736
Corner House Ice Cream,Banashankari,,
Biryanis And More,Jayanagar,,
Roving Feast,Banashankari,,
FreshMenu,Banashankari,,
Wamama,Banashankari,,
Peppy Peppers,Banashankari,,
1947,Banashankari,12.9278196,77.556621
Kabab Magic,Basavanagudi,12.9403117,77.5798319
Gustoes Beer House,Banashankari,,
The Biryani Cafe,Banashankari,12.9431647,77.5415743
Rolls On Wheels,Banashankari,,
Sri Guru Kottureshwara Davangere Benne Dosa,Basavanagudi,,
Meghana Foods,Jayanagar,,
Bengaluru Coffee House,Banashankari,,
Anna Kuteera,Banashankari,,
House Of Kebabs,Basavanagudi,,
BOX8- Desi Meals,Banashankari,,
KFC,Banashankari,,
Roll Over,Jayanagar,,
Imperial Restaurant,Mysore Road,,
The Blue Wagon - Kitchen,Jayanagar,,
Patio 805,Jayanagar,,
Dev Sagar - Food Street,Basavanagudi,,
Grazers,Jayanagar,,
@Italy,Kumaraswamy Layout,,
Donne Biriyani House,Banashankari,,
Kedia's Fun Food,Jayanagar,,
Mini Punjabi Dhaba,Banashankari,,
Gokul Veg,Basavanagudi,,
Gama Gama,Banashankari,,
Pizza Hut,Banashankari,,
Mangalore Pearl,Jayanagar,,
Chutney Chang,Jayanagar,,
Mystique Palate,Jayanagar,,
Toscano,Jayanagar,,
Stoned Monkey,Banashankari,,
Central Jail Restaurant,Jayanagar,,
Kollapuri's,Basavanagudi,,
RS Shiv Sagar,Basavanagudi,,
Chumma Delicious,Banashankari,,
New Prashanth Hotel,Banashankari,,
Gufha - The President Hotel,Jayanagar,,
South Kitchen,Basavanagudi,,
Chung Wah,Jayanagar,,
Prems Graama Bhojanam,Jayanagar,,
Kamat Bugle Rock,Basavanagudi,,
Puliyogare Point,Basavanagudi,,
Rustic Stove,Jayanagar,,
Sea Spice by 7 Star,Banashankari,,
Desi Dawat,Kumaraswamy Layout,,
Cafe Aira,Basavanagudi,,
The Royal Corner - Pai Viceroy,Jayanagar,,
Hara Fine Dine,Banashankari,,
Ivy,Kumaraswamy Layout,,
Salut,Jayanagar,,
Food Springs,Jayanagar,,
Chung's Chinese Corner,Jayanagar,,
Eurasia Pasta and Barbeque by Little Italy,Jayanagar,,
Ragoo's,Jayanagar,,
Pure & Natural,Jayanagar,,
Maiyas,Jayanagar,,
Sip n Dine,Vijay Nagar,,
Cafe Mondo,Basavanagudi,,
Jalpaan,Jayanagar,,
Upahara Darshini,Jayanagar,,
Karnataka Bhel House,Basavanagudi,,
Sreeraj Lassi Bar,Jayanagar,,
Subz,Jayanagar,,
Mint and Mustard,Basavanagudi,,
Punjabi Raswada,Jayanagar,,
Vinny's,Banashankari,,
Andhra Ruchulu,Jayanagar,,
Steaming Mugs,Basavanagudi,,
Rajathadri Food Fort,Jayanagar,,
Brew Meister,Jayanagar,,
