name,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type),listed_in(city),veg_nonveg_type,famous_dish,success_rate,cancellation_rate,latitude,longitude,distance_km
Jalsa,1,1,4.1,775,Banashankari,Casual Dining,"Pasta, Lunch Buffet, Masala Papad, Paneer Lajawab, Tomato Shorba, Dum Biryani, Sweet Corn Soup","North Indian, Mughlai, Chinese",800.0,Buffet,Banashankari,Veg,Pasta,0.6261486829357328,0.3738513170642672,12.9255,77.5468,8.397339338288553
Spice Elephant,1,0,4.1,787,Banashankari,Casual Dining,"Momos, Lunch Buffet, Chocolate Nirvana, Thai Green Curry, Paneer Tikka, Dum Biryani, Chicken Biryani","Chinese, North Indian, Thai",800.0,Buffet,Banashankari,Veg,Momos,0.594613638553608,0.40538636144639195,12.9255,77.5468,8.397339338288553
San Churro Cafe,1,0,3.8,918,Banashankari,"Cafe, Casual Dining","Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza","Cafe, Mexican, Italian",800.0,Buffet,Banashankari,Veg,Churros,0.5987461189202437,0.40125388107975635,12.9255,77.5468,8.397339338288553
Addhuri Udupi Bhojana,0,0,3.7,88,Banashankari,Quick Bites,Masala Dosa,"South Indian, North Indian",300.0,Buffet,Banashankari,Veg,Masala Dosa,0.4152199338850401,0.5847800661149599,12.9255,77.5468,8.397339338288553
Grand Village,0,0,3.8,166,Basavanagudi,Casual Dining,"Panipuri, Gol Gappe","North Indian, Rajasthani",600.0,Buffet,Banashankari,Veg,Panipuri,0.3412509814539472,0.6587490185460527,12.9416,77.5713,5.2424212338771845
Timepass Dinner,1,0,3.8,286,Basavanagudi,Casual Dining,"Onion Rings, Pasta, Kadhai Paneer, Salads, Salad, Roti, Jeera Rice",North Indian,600.0,Buffet,Banashankari,Veg,Onion Rings,0.543390585612617,0.456609414387383,12.9416,77.5713,5.2424212338771845
Rosewood International Hotel - Bar & Restaurant,0,0,3.6,8,Mysore Road,Casual Dining,North Indian,"North Indian, South Indian, Andhra, Chinese",800.0,Buffet,Banashankari,Veg,North Indian,0.40410322632670037,0.5958967736732996,12.9716,77.5946,1.1799233423387865
Onesta,1,1,4.6,2556,Banashankari,"Casual Dining, Cafe","Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza","Pizza, Cafe, Italian",600.0,Cafes,Banashankari,Veg,Farmhouse Pizza,0.7339278201078355,0.2660721798921645,12.9255,77.5468,8.397339338288553
Penthouse Cafe,1,0,4.0,324,Banashankari,Cafe,"Pizza, Mocktails, Coffee, Nachos, Salad, Pasta, Sandwiches","Cafe, Italian, Continental",700.0,Cafes,Banashankari,Veg,Pizza,0.5573009955321497,0.44269900446785027,12.9255,77.5468,8.397339338288553
Smacznego,1,0,4.2,504,Banashankari,Cafe,"Waffles, Pasta, Coleslaw Sandwich, Choco Waffle, Tacos, Momos, Cheese Nachos","Cafe, Mexican, Italian, Momos, Beverages",550.0,Cafes,Banashankari,Veg,Waffles,0.6361108919131385,0.3638891080868615,12.9255,77.5468,8.397339338288553
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,1,0,4.1,402,Banashankari,Cafe,"Waffles, Pasta, Crispy Chicken, Honey Chilli Chicken, Sandwich, Coffee, Crepe",Cafe,500.0,Cafes,Banashankari,Veg,Waffles,0.5714940393137495,0.42850596068625046,12.9255,77.5468,8.397339338288553
Cafe Shuffle,1,1,4.2,150,Banashankari,Cafe,"Mocktails, Peri Fries, Lasagne, Pizza, Chicken Bbq Wings, Virgin Mojito, Nachos","Cafe, Italian, Continental",600.0,Cafes,Banashankari,Veg,Mocktails,0.5793869914089397,0.4206130085910603,12.9255,77.5468,8.397339338288553
The Coffee Shack,1,1,4.2,164,Banashankari,Cafe,"Coffee, Spaghetti, Pancakes, Nachos, Pasta, Sandwich, Garlic Bread","Cafe, Chinese, Continental, Italian",500.0,Cafes,Banashankari,Veg,Coffee,0.6150211173805832,0.3849788826194168,12.9255,77.5468,8.397339338288553
Caf-Eleven,0,0,4.0,424,Banashankari,Cafe,"Sandwich, Omelette, Ice Tea, Virgin Mojito, Hot Chocolate, Pasta Arrabiata, Hazelnut Cappuccino","Cafe, Continental",450.0,Cafes,Banashankari,Veg,Sandwich,0.28689302198764244,0.7131069780123576,12.9255,77.5468,8.397339338288553
San Churro Cafe,1,0,3.8,918,Banashankari,"Cafe, Casual Dining","Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza","Cafe, Mexican, Italian",800.0,Cafes,Banashankari,Veg,Churros,0.48011580038955737,0.5198841996104426,12.9255,77.5468,8.397339338288553
